id_evento,id_orgao,sigla_orgao
19203,2001,CAPADR
47299,2001,CAPADR
48314,2001,CAPADR
48424,2001,CAPADR
49369,2001,CAPADR
44716,2001,CAPADR
45769,2001,CAPADR
45743,2001,CAPADR
28377,2001,CAPADR
29485,2001,CAPADR
30330,2001,CAPADR
30632,2001,CAPADR
32760,2001,CAPADR
33552,2001,CAPADR
34543,2001,CAPADR
37488,2001,CAPADR
37679,2001,CAPADR
21541,2001,CAPADR
22331,2001,CAPADR
51395,2001,CAPADR
53265,2001,CAPADR
53427,2001,CAPADR
5449,2001,CAPADR
65077,2001,CAPADR
409,2001,CAPADR
914,2001,CAPADR
25969,2001,CAPADR
25261,2001,CAPADR
61043,2001,CAPADR
62516,2001,CAPADR
63636,2001,CAPADR
64182,2001,CAPADR
13192,2001,CAPADR
55691,2001,CAPADR
57399,2001,CAPADR
58152,2001,CAPADR
14958,2001,CAPADR
74991,2001,CAPADR
18059,2001,CAPADR
18434,2001,CAPADR
18487,2001,CAPADR
18697,2001,CAPADR
47482,2001,CAPADR
38518,2001,CAPADR
38766,2001,CAPADR
39841,2001,CAPADR
40173,2001,CAPADR
41579,2001,CAPADR
41500,2001,CAPADR
42487,2001,CAPADR
31170,2001,CAPADR
34897,2001,CAPADR
36925,2001,CAPADR
21214,2001,CAPADR
51251,2001,CAPADR
52751,2001,CAPADR
5514,2001,CAPADR
135,2001,CAPADR
25455,2001,CAPADR
25386,2001,CAPADR
27481,2001,CAPADR
27693,2001,CAPADR
1935,2001,CAPADR
3014,2001,CAPADR
61595,2001,CAPADR
12440,2001,CAPADR
8696,2001,CAPADR
9223,2001,CAPADR
58788,2001,CAPADR
59016,2001,CAPADR
14884,2001,CAPADR
16433,2001,CAPADR
16847,2001,CAPADR
74942,2001,CAPADR
79562,2001,CAPADR
80407,2001,CAPADR
6944,2001,CAPADR
17640,2001,CAPADR
47264,2001,CAPADR
47312,2001,CAPADR
48039,2001,CAPADR
45896,2001,CAPADR
28556,2001,CAPADR
38942,2001,CAPADR
41752,2001,CAPADR
32288,2001,CAPADR
34315,2001,CAPADR
37148,2001,CAPADR
20947,2001,CAPADR
4072,2001,CAPADR
4589,2001,CAPADR
5586,2001,CAPADR
66827,2001,CAPADR
66907,2001,CAPADR
764,2001,CAPADR
1498,2001,CAPADR
2600,2001,CAPADR
2658,2001,CAPADR
60998,2001,CAPADR
63393,2001,CAPADR
64124,2001,CAPADR
11502,2001,CAPADR
55326,2001,CAPADR
55420,2001,CAPADR
58507,2001,CAPADR
14098,2001,CAPADR
72642,2001,CAPADR
74108,2001,CAPADR
77646,2001,CAPADR
79953,2001,CAPADR
80212,2001,CAPADR
6762,2001,CAPADR
7627,2001,CAPADR
48739,2001,CAPADR
49909,2001,CAPADR
29221,2001,CAPADR
39833,2001,CAPADR
40959,2001,CAPADR
31566,2001,CAPADR
32350,2001,CAPADR
32951,2001,CAPADR
35544,2001,CAPADR
19644,2001,CAPADR
21365,2001,CAPADR
52871,2001,CAPADR
3776,2001,CAPADR
677,2001,CAPADR
26178,2001,CAPADR
26331,2001,CAPADR
2286,2001,CAPADR
61851,2001,CAPADR
57128,2001,CAPADR
16175,2001,CAPADR
24195,2001,CAPADR
72489,2001,CAPADR
73788,2001,CAPADR
73879,2001,CAPADR
74832,2001,CAPADR
7048,2001,CAPADR
19401,2001,CAPADR
47781,2001,CAPADR
48117,2001,CAPADR
49717,2001,CAPADR
28754,2001,CAPADR
29207,2001,CAPADR
40698,2001,CAPADR
33758,2001,CAPADR
33990,2001,CAPADR
34226,2001,CAPADR
34423,2001,CAPADR
20475,2001,CAPADR
22059,2001,CAPADR
22183,2001,CAPADR
53023,2001,CAPADR
53728,2001,CAPADR
53980,2001,CAPADR
3585,2001,CAPADR
66085,2001,CAPADR
67442,2001,CAPADR
70825,2001,CAPADR
555,2001,CAPADR
25533,2001,CAPADR
26102,2001,CAPADR
63396,2001,CAPADR
63714,2001,CAPADR
55248,2001,CAPADR
14108,2001,CAPADR
15843,2001,CAPADR
16031,2001,CAPADR
15910,2001,CAPADR
74954,2001,CAPADR
76298,2001,CAPADR
18544,2001,CAPADR
19122,2001,CAPADR
47196,2001,CAPADR
48733,2001,CAPADR
43846,2001,CAPADR
45715,2001,CAPADR
45797,2001,CAPADR
28258,2001,CAPADR
30263,2001,CAPADR
41280,2001,CAPADR
32306,2001,CAPADR
33065,2001,CAPADR
20949,2001,CAPADR
51122,2001,CAPADR
4991,2001,CAPADR
65810,2001,CAPADR
69511,2001,CAPADR
71008,2001,CAPADR
88,2001,CAPADR
25060,2001,CAPADR
61607,2001,CAPADR
62274,2001,CAPADR
63180,2001,CAPADR
63484,2001,CAPADR
63713,2001,CAPADR
8589,2001,CAPADR
55247,2001,CAPADR
56405,2001,CAPADR
57267,2001,CAPADR
57216,2001,CAPADR
24056,2001,CAPADR
72895,2001,CAPADR
72896,2001,CAPADR
73247,2001,CAPADR
73449,2001,CAPADR
77494,2001,CAPADR
6505,2001,CAPADR
6575,2001,CAPADR
7541,2001,CAPADR
18663,2001,CAPADR
48938,2001,CAPADR
29405,2001,CAPADR
29653,2001,CAPADR
30443,2001,CAPADR
38438,2001,CAPADR
39772,2001,CAPADR
31898,2001,CAPADR
32021,2001,CAPADR
32691,2001,CAPADR
32983,2001,CAPADR
19703,2001,CAPADR
19794,2001,CAPADR
21295,2001,CAPADR
22616,2001,CAPADR
51079,2001,CAPADR
54152,2001,CAPADR
66419,2001,CAPADR
66834,2001,CAPADR
259,2001,CAPADR
2231,2001,CAPADR
60700,2001,CAPADR
61378,2001,CAPADR
63698,2001,CAPADR
9113,2001,CAPADR
11942,2001,CAPADR
54425,2001,CAPADR
55117,2001,CAPADR
56870,2001,CAPADR
58850,2001,CAPADR
14355,2001,CAPADR
14606,2001,CAPADR
15256,2001,CAPADR
16982,2001,CAPADR
24127,2001,CAPADR
77430,2001,CAPADR
79324,2001,CAPADR
6625,2001,CAPADR
7201,2001,CAPADR
17527,2001,CAPADR
46815,2001,CAPADR
50344,2001,CAPADR
28278,2001,CAPADR
28936,2001,CAPADR
30830,2001,CAPADR
42083,2001,CAPADR
34646,2001,CAPADR
35447,2001,CAPADR
35701,2001,CAPADR
21191,2001,CAPADR
21963,2001,CAPADR
51142,2001,CAPADR
51592,2001,CAPADR
3855,2001,CAPADR
4121,2001,CAPADR
67556,2001,CAPADR
69410,2001,CAPADR
69382,2001,CAPADR
216,2001,CAPADR
946,2001,CAPADR
25054,2001,CAPADR
25453,2001,CAPADR
25723,2001,CAPADR
1902,2001,CAPADR
62345,2001,CAPADR
62296,2001,CAPADR
12969,2001,CAPADR
8649,2001,CAPADR
10867,2001,CAPADR
14916,2001,CAPADR
24307,2001,CAPADR
24849,2001,CAPADR
74521,2001,CAPADR
78858,2001,CAPADR
78963,2001,CAPADR
18270,2001,CAPADR
18952,2001,CAPADR
19101,2001,CAPADR
19549,2001,CAPADR
48883,2001,CAPADR
44314,2001,CAPADR
29493,2001,CAPADR
38907,2001,CAPADR
41473,2001,CAPADR
35228,2001,CAPADR
35265,2001,CAPADR
36125,2001,CAPADR
20832,2001,CAPADR
21271,2001,CAPADR
68210,2001,CAPADR
69502,2001,CAPADR
70614,2001,CAPADR
727,2001,CAPADR
27495,2001,CAPADR
3050,2001,CAPADR
62013,2001,CAPADR
12892,2001,CAPADR
8582,2001,CAPADR
11721,2001,CAPADR
56724,2001,CAPADR
57060,2001,CAPADR
16917,2001,CAPADR
73716,2001,CAPADR
74982,2001,CAPADR
76383,2001,CAPADR
6486,2001,CAPADR
7608,2001,CAPADR
17240,2001,CAPADR
17329,2001,CAPADR
18972,2001,CAPADR
48940,2001,CAPADR
43972,2001,CAPADR
30060,2001,CAPADR
38021,2001,CAPADR
38181,2001,CAPADR
38294,2001,CAPADR
38982,2001,CAPADR
40952,2001,CAPADR
42398,2001,CAPADR
31066,2001,CAPADR
31080,2001,CAPADR
32329,2001,CAPADR
35889,2001,CAPADR
36280,2001,CAPADR
19870,2001,CAPADR
22250,2001,CAPADR
51573,2001,CAPADR
4412,2001,CAPADR
66133,2001,CAPADR
71458,2001,CAPADR
89,2001,CAPADR
1054,2001,CAPADR
900,2001,CAPADR
63684,2001,CAPADR
12430,2001,CAPADR
56388,2001,CAPADR
57218,2001,CAPADR
14447,2001,CAPADR
14799,2001,CAPADR
16372,2001,CAPADR
23468,2001,CAPADR
23914,2001,CAPADR
73740,2001,CAPADR
77658,2001,CAPADR
80097,2001,CAPADR
80391,2001,CAPADR
7634,2001,CAPADR
18958,2001,CAPADR
46940,2001,CAPADR
29205,2001,CAPADR
30446,2001,CAPADR
33436,2001,CAPADR
33653,2001,CAPADR
20296,2001,CAPADR
20386,2001,CAPADR
21677,2001,CAPADR
22706,2001,CAPADR
22873,2001,CAPADR
3718,2001,CAPADR
68033,2001,CAPADR
26983,2001,CAPADR
60985,2001,CAPADR
13994,2001,CAPADR
8704,2001,CAPADR
9001,2001,CAPADR
11512,2001,CAPADR
11746,2001,CAPADR
58868,2001,CAPADR
14208,2001,CAPADR
14635,2001,CAPADR
15273,2001,CAPADR
15669,2001,CAPADR
72452,2001,CAPADR
72545,2001,CAPADR
75179,2001,CAPADR
76164,2001,CAPADR
77033,2001,CAPADR
77263,2001,CAPADR
79703,2001,CAPADR
6489,2001,CAPADR
7050,2001,CAPADR
8057,2001,CAPADR
8215,2001,CAPADR
47965,2001,CAPADR
49080,2001,CAPADR
39887,2001,CAPADR
31144,2001,CAPADR
32459,2001,CAPADR
33177,2001,CAPADR
33146,2001,CAPADR
34183,2001,CAPADR
20128,2001,CAPADR
21227,2001,CAPADR
22196,2001,CAPADR
52766,2001,CAPADR
52944,2001,CAPADR
68451,2001,CAPADR
71106,2001,CAPADR
71272,2001,CAPADR
215,2001,CAPADR
273,2001,CAPADR
27938,2001,CAPADR
61996,2001,CAPADR
62650,2001,CAPADR
12791,2001,CAPADR
12608,2001,CAPADR
13761,2001,CAPADR
9007,2001,CAPADR
10584,2001,CAPADR
55814,2001,CAPADR
56703,2001,CAPADR
59135,2001,CAPADR
14194,2001,CAPADR
16617,2001,CAPADR
23189,2001,CAPADR
23238,2001,CAPADR
23568,2001,CAPADR
73501,2001,CAPADR
73635,2001,CAPADR
73800,2001,CAPADR
76266,2001,CAPADR
79571,2001,CAPADR
8245,2001,CAPADR
47427,2001,CAPADR
47391,2001,CAPADR
49260,2001,CAPADR
49825,2001,CAPADR
50268,2001,CAPADR
50365,2001,CAPADR
50343,2001,CAPADR
43717,2001,CAPADR
29765,2001,CAPADR
40591,2001,CAPADR
40652,2001,CAPADR
42212,2001,CAPADR
42741,2001,CAPADR
31376,2001,CAPADR
34081,2001,CAPADR
33900,2001,CAPADR
34462,2001,CAPADR
36691,2001,CAPADR
20075,2001,CAPADR
